Node Number	Shear Elastic Strain (mm/mm)
1225	1.4489e-006
1226	-3.0705e-006
1227	-1.7137e-005
1228	-3.1046e-005
1229	-3.1776e-005
1230	-5.5185e-005
1231	-4.2937e-005
1232	-7.4627e-005
1233	-5.0945e-005
1234	-8.7978e-005
1235	-5.5882e-005
1236	-9.4406e-005
1237	-5.6913e-005
1238	-9.3784e-005
1239	3.5085e-004
1240	2.7422e-004
1241	2.3947e-004
1242	1.9522e-004
1243	1.8353e-004
1244	1.6225e-004
1245	1.4227e-004
1246	1.3898e-004
1247	1.0886e-004
1248	1.1965e-004
1249	7.73e-005
1250	9.972e-005
1251	4.4542e-005
1252	7.6318e-005
1253	8.2769e-006
1254	4.6564e-005
1255	-3.3245e-005
1256	7.2295e-006
1257	-8.1108e-005
1258	-4.5694e-005
1259	-1.3515e-004
1260	-1.1712e-004
1261	-1.9237e-004
1262	-2.1269e-004
1263	-2.444e-004
1264	-3.3696e-004
1265	-2.727e-004
1266	-4.8785e-004
1267	-5.7819e-005
1268	-6.3446e-005
1269	-6.9617e-005
1270	-7.626e-005
1271	-8.3333e-005
1272	-9.0808e-005
1273	-9.8665e-005
1274	-1.0688e-004
1275	-1.1543e-004
1276	-1.2426e-004
1277	-1.3334e-004
1278	-1.4262e-004
1279	-1.5208e-004
1280	-1.6175e-004
1281	-1.7172e-004
1282	-1.8219e-004
1283	-1.9338e-004
1284	-2.0558e-004
